family,n,seed,omega_red,omega_blue,alpha_red,alpha_blue,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
balanced_binary_partitions,18,2,6,4,4,6,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,3,4,6,6,4,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,0,6,4,4,6,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,1,4,6,6,4,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,2,6,4,4,6,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,3,4,6,6,4,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,0,8,4,4,8,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,1,4,8,8,4,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,2,8,4,4,8,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,3,4,8,8,4,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,0,8,4,4,8,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,1,4,8,8,4,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,2,8,4,4,8,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,3,4,8,8,4,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
prime_anchor_partitioning,8,0,3,4,4,3,4,4,5,5,2.0,0.5,0.35714285714285715,2.5615528128088303,4.440892098500626e-16,10.24621125123532,prime_mean_gap,1.6666666666666667,0.04863267791677184
prime_anchor_partitioning,8,1,4,3,3,4,4,4,5,5,2.0,0.5,0.35714285714285715,3.000000000000001,1.0000000000000016,10.0,prime_mean_gap,1.6666666666666667,0.04863267791677184
