tuplet_name,offsets,parent_W,child_W,visible_H_first,layer_depth,layer_primes,parent_class_b,parent_class_spin_code,parent_class_frequency,child_future_classes_produced,dominant_phi_tuple,dominant_phi_tuple_share,phi_tuple_support_size,boundary_any_fraction
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,0,8192,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,0,8200,4,4,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,1,16,3,4,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,1,16384,3,3,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,1,16400,4,8,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,2,1,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,2,32,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,2,33,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,3,2,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,3,64,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,3,66,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,4,4,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,4,128,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,4,132,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,5,8,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,5,256,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,5,264,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,6,16,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,6,512,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,6,528,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,7,32,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,7,1024,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,7,1056,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,8,64,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,8,2048,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,8,2112,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,9,128,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,9,4096,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,9,4224,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,10,256,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,10,8192,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,10,8448,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,11,512,3,2,(6),0.3333333333333333,3,0.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,11,16384,3,2,(7),0.3333333333333333,3,0.3333333333333333
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,11,16896,4,3,(8),0.25,4,0.5
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,12,1024,7,2,(8),0.14285714285714285,7,0.2857142857142857
