case,relation,D,timestep,cos_metric,sin_metric,full_radial,subspace_radial,radial_ratio,success_flag,match_flag,eps_high,n_samples,notes
B,adj_minus1,20,5,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=5
A,matched,20,6,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=6
B,adj_plus1,20,6,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=6
B,opposite,20,6,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=6
B,adj_minus1,20,6,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=6
A,matched,20,7,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=7
B,adj_plus1,20,7,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=7
B,opposite,20,7,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=7
B,adj_minus1,20,7,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=7
A,matched,20,8,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=8
B,adj_plus1,20,8,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=8
B,opposite,20,8,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=8
B,adj_minus1,20,8,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=8
A,matched,20,9,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=9
B,adj_plus1,20,9,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=9
B,opposite,20,9,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=9
B,adj_minus1,20,9,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=9
A,matched,20,10,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=10
B,adj_plus1,20,10,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=10
B,opposite,20,10,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=10
B,adj_minus1,20,10,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=10
A,matched,20,11,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=11
