model,task,metric_name,metric_value,operator,usage_fraction,context_bucket,transport_usage_fraction,route_entropy,note
non_transport,first_token_recall_D4,transport_frac_at_step,0.0,aggregate_transport,0.0,step=1_dist=3,0.0,1.7914,step=1; distance_from_query=3
non_transport,first_token_recall_D4,transport_frac_at_step,0.0,aggregate_transport,0.0,step=2_dist=2,0.0,1.7914,step=2; distance_from_query=2
non_transport,first_token_recall_D4,transport_frac_at_step,0.0,aggregate_transport,0.0,step=3_dist=1,0.0,1.7914,step=3; distance_from_query=1
non_transport,first_token_recall_D8,accuracy,0.228,T_b,0.3306,D=8_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D8,accuracy,0.228,T_x,0.3351,D=8_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D8,accuracy,0.228,T_y,0.3342,D=8_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D8,accuracy,0.228,T_c,0.0,D=8_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D8,accuracy,0.228,T_z',0.0,D=8_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D8,accuracy,0.228,T_r*,0.0,D=8_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D8,transport_frac_at_step,0.0,aggregate_transport,0.0,step=0_dist=8,0.0,1.7914,step=0; distance_from_query=8
non_transport,first_token_recall_D8,transport_frac_at_step,0.0,aggregate_transport,0.0,step=1_dist=7,0.0,1.7914,step=1; distance_from_query=7
non_transport,first_token_recall_D8,transport_frac_at_step,0.0,aggregate_transport,0.0,step=2_dist=6,0.0,1.7914,step=2; distance_from_query=6
non_transport,first_token_recall_D8,transport_frac_at_step,0.0,aggregate_transport,0.0,step=3_dist=5,0.0,1.7914,step=3; distance_from_query=5
non_transport,first_token_recall_D8,transport_frac_at_step,0.0,aggregate_transport,0.0,step=4_dist=4,0.0,1.7914,step=4; distance_from_query=4
non_transport,first_token_recall_D8,transport_frac_at_step,0.0,aggregate_transport,0.0,step=5_dist=3,0.0,1.7914,step=5; distance_from_query=3
non_transport,first_token_recall_D8,transport_frac_at_step,0.0,aggregate_transport,0.0,step=6_dist=2,0.0,1.7914,step=6; distance_from_query=2
non_transport,first_token_recall_D8,transport_frac_at_step,0.0,aggregate_transport,0.0,step=7_dist=1,0.0,1.7914,step=7; distance_from_query=1
