case,variant,timestep,full_radius_mean,full_radius_std,subspace,subspace_radius_mean,subspace_radius_std,ratio_mean,ratio_std,direction_metric_mean,direction_metric_std,match_condition,success_condition,notes
B_uniform_blend,original_s42,1,1.27655149,0.1659352,h3,0.33761039,0.18398191,0.26426721,0.13863312,-0.09401264,0.71758908,na,all,subspace=h3;t=1;n_samples=2048;full_cos_mean=0.020781;h3_cos_mean=-0.094013
B_uniform_blend,original_s42,1,1.27655149,0.1659352,h2,0.35176963,0.16094053,0.27564776,0.12234528,-0.09401264,0.71758908,na,all,subspace=h2;t=1;n_samples=2048;full_cos_mean=0.020781;h3_cos_mean=-0.094013
B_uniform_blend,original_s42,1,1.27655149,0.1659352,block3_ang,0.73459172,0.1897532,0.57719493,0.13550989,-0.09401264,0.71758908,na,all,subspace=block3_ang;t=1;n_samples=2048;full_cos_mean=0.020781;h3_cos_mean=-0.094013
B_uniform_blend,original_s42,2,1.28090584,0.16970097,full,1.28090584,0.16970097,1.0,0.0,0.05192254,0.69838214,na,all,subspace=full;t=2;n_samples=2048;full_cos_mean=0.006160;h3_cos_mean=0.051923
B_uniform_blend,original_s42,2,1.28090584,0.16970097,h3,0.334768,0.17786555,0.26151955,0.13239181,0.05192254,0.69838214,na,all,subspace=h3;t=2;n_samples=2048;full_cos_mean=0.006160;h3_cos_mean=0.051923
B_uniform_blend,original_s42,2,1.28090584,0.16970097,h2,0.34814304,0.16345644,0.27108321,0.12038163,0.05192254,0.69838214,na,all,subspace=h2;t=2;n_samples=2048;full_cos_mean=0.006160;h3_cos_mean=0.051923
B_uniform_blend,original_s42,2,1.28090584,0.16970097,block3_ang,0.73428082,0.19226401,0.57565254,0.14034124,0.05192254,0.69838214,na,all,subspace=block3_ang;t=2;n_samples=2048;full_cos_mean=0.006160;h3_cos_mean=0.051923
B_uniform_blend,original_s42,3,1.28490877,0.17159761,full,1.28490877,0.17159761,1.0,0.0,-0.02693923,0.72358727,na,all,subspace=full;t=3;n_samples=2048;full_cos_mean=-0.018405;h3_cos_mean=-0.026939
B_uniform_blend,original_s42,3,1.28490877,0.17159761,h3,0.35529503,0.1831893,0.27554497,0.13470164,-0.02693923,0.72358727,na,all,subspace=h3;t=3;n_samples=2048;full_cos_mean=-0.018405;h3_cos_mean=-0.026939
B_uniform_blend,original_s42,3,1.28490877,0.17159761,h2,0.34879053,0.16554882,0.27214026,0.12403854,-0.02693923,0.72358727,na,all,subspace=h2;t=3;n_samples=2048;full_cos_mean=-0.018405;h3_cos_mean=-0.026939
B_uniform_blend,original_s42,3,1.28490877,0.17159761,block3_ang,0.74189258,0.19529939,0.57869864,0.13643023,-0.02693923,0.72358727,na,all,subspace=block3_ang;t=3;n_samples=2048;full_cos_mean=-0.018405;h3_cos_mean=-0.026939
B_uniform_blend,original_s42,4,1.26489568,0.17541154,full,1.26489568,0.17541154,1.0,0.0,0.03841029,0.71788061,na,all,subspace=full;t=4;n_samples=2048;full_cos_mean=-0.020339;h3_cos_mean=0.038410
B_uniform_blend,original_s42,4,1.26489568,0.17541154,h3,0.35195586,0.18715093,0.27675465,0.13798568,0.03841029,0.71788061,na,all,subspace=h3;t=4;n_samples=2048;full_cos_mean=-0.020339;h3_cos_mean=0.038410
B_uniform_blend,original_s42,4,1.26489568,0.17541154,h2,0.34583226,0.16687556,0.27262551,0.12494725,0.03841029,0.71788061,na,all,subspace=h2;t=4;n_samples=2048;full_cos_mean=-0.020339;h3_cos_mean=0.038410
B_uniform_blend,original_s42,4,1.26489568,0.17541154,block3_ang,0.73564368,0.19892591,0.58339918,0.14279617,0.03841029,0.71788061,na,all,subspace=block3_ang;t=4;n_samples=2048;full_cos_mean=-0.020339;h3_cos_mean=0.038410
B_uniform_blend,original_s42,5,1.27066541,0.16878046,full,1.27066541,0.16878046,1.0,0.0,-0.06661285,0.72223681,na,all,subspace=full;t=5;n_samples=2048;full_cos_mean=-0.032101;h3_cos_mean=-0.066613
B_uniform_blend,original_s42,5,1.27066541,0.16878046,h3,0.35365367,0.18590234,0.27729037,0.13725868,-0.06661285,0.72223681,na,all,subspace=h3;t=5;n_samples=2048;full_cos_mean=-0.032101;h3_cos_mean=-0.066613
B_uniform_blend,original_s42,5,1.27066541,0.16878046,h2,0.35301024,0.16280726,0.27654177,0.12057443,-0.06661285,0.72223681,na,all,subspace=h2;t=5;n_samples=2048;full_cos_mean=-0.032101;h3_cos_mean=-0.066613
B_uniform_blend,original_s42,5,1.27066541,0.16878046,block3_ang,0.74531293,0.20327678,0.586312,0.13873401,-0.06661285,0.72223681,na,all,subspace=block3_ang;t=5;n_samples=2048;full_cos_mean=-0.032101;h3_cos_mean=-0.066613
B_uniform_blend,original_s42,6,1.27054608,0.16492677,full,1.27054608,0.16492677,1.0,0.0,0.06857529,0.72157639,na,all,subspace=full;t=6;n_samples=2048;full_cos_mean=0.042561;h3_cos_mean=0.068575
