operator,cluster,subfield,observed_period,count,fraction,drives_full_tau_period,synchronization_role,note
T_y,non-transport,twist,3,123,0.123000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,4,56,0.056000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,5,15,0.015000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,7,9,0.009000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,6,8,0.008000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,8,6,0.006000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,9,1,0.001000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,unresolved,23,0.023000,N/A,sub-field did not return within cap,cap=1000; sub-field period > cap
T_y,non-transport,lift,3,122,0.122000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,2,80,0.080000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,4,71,0.071000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,6,59,0.059000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,7,52,0.052000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,5,51,0.051000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,8,40,0.040000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,9,36,0.036000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,11,34,0.034000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,10,29,0.029000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,13,27,0.027000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,14,25,0.025000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,12,24,0.024000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,18,18,0.018000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,16,16,0.016000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,17,13,0.013000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,1,12,0.012000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,20,12,0.012000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,19,10,0.010000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,15,9,0.009000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,21,6,0.006000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,25,6,0.006000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,23,5,0.005000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,24,4,0.004000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,26,4,0.004000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,29,3,0.003000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,22,3,0.003000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,31,3,0.003000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,30,2,0.002000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,32,2,0.002000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,37,1,0.001000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,34,1,0.001000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,39,1,0.001000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,33,1,0.001000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,43,1,0.001000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,42,1,0.001000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,28,1,0.001000,0.7530,bottleneck_fraction=0.7530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=215; dominant_sync_type=tau_unresolved
T_y,non-transport,lift,unresolved,215,0.215000,N/A,sub-field did not return within cap,cap=1000; sub-field period > cap
T_c,transport,swap,1,1000,1.000000,0.0730,bottleneck_fraction=0.0730,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_c,transport,coupled,1,213,0.213000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,2,153,0.153000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,3,115,0.115000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,4,93,0.093000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,5,78,0.078000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,6,75,0.075000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,8,33,0.033000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,7,31,0.031000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,9,26,0.026000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,10,18,0.018000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,12,14,0.014000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,11,12,0.012000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,13,11,0.011000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,15,5,0.005000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,17,4,0.004000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,16,4,0.004000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,14,4,0.004000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,18,3,0.003000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,26,2,0.002000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,22,2,0.002000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,20,2,0.002000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,23,1,0.001000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,24,1,0.001000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,19,1,0.001000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
T_c,transport,coupled,21,1,0.001000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=98; dominant_sync_type=tau_unresolved
