model,task,delay,metric_name,metric_value,operator,usage_fraction,transport_usage_fraction,route_entropy,note
random,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.7918,step=7; dist_from_query=1
random,first_token_recall_D16,16,accuracy,0.247,T_b,1.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D16,16,accuracy,0.247,T_x,0.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D16,16,accuracy,0.247,T_y,0.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D16,16,accuracy,0.247,T_c,0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D16,16,accuracy,0.247,T_z',0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D16,16,accuracy,0.247,T_r*,0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=0; dist_from_query=16
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=1; dist_from_query=15
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=2; dist_from_query=14
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=3; dist_from_query=13
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=4; dist_from_query=12
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=5; dist_from_query=11
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=6; dist_from_query=10
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=7; dist_from_query=9
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=8; dist_from_query=8
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=9; dist_from_query=7
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=10; dist_from_query=6
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=11; dist_from_query=5
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=12; dist_from_query=4
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=13; dist_from_query=3
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=14; dist_from_query=2
random,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.7918,step=15; dist_from_query=1
traj_router,first_token_recall_D2,2,accuracy,0.232,T_b,0.0085,0.4495,1.6712,cluster=non_transport
traj_router,first_token_recall_D2,2,accuracy,0.232,T_x,0.3745,0.4495,1.6712,cluster=non_transport
traj_router,first_token_recall_D2,2,accuracy,0.232,T_y,0.1675,0.4495,1.6712,cluster=non_transport
traj_router,first_token_recall_D2,2,accuracy,0.232,T_c,0.007,0.4495,1.6712,cluster=transport
traj_router,first_token_recall_D2,2,accuracy,0.232,T_z',0.0635,0.4495,1.6712,cluster=transport
traj_router,first_token_recall_D2,2,accuracy,0.232,T_r*,0.379,0.4495,1.6712,cluster=transport
traj_router,first_token_recall_D2,2,mean_attn_weight,0.4999,aggregate_attn,0.4999,0.4495,1.6712,step=0; dist_from_query=2
traj_router,first_token_recall_D2,2,mean_attn_weight,0.5001,aggregate_attn,0.5001,0.4495,1.6712,step=1; dist_from_query=1
traj_router,first_token_recall_D4,4,accuracy,0.253,T_b,0.171,0.168,1.7396,cluster=non_transport
traj_router,first_token_recall_D4,4,accuracy,0.253,T_x,0.4088,0.168,1.7396,cluster=non_transport
traj_router,first_token_recall_D4,4,accuracy,0.253,T_y,0.2522,0.168,1.7396,cluster=non_transport
traj_router,first_token_recall_D4,4,accuracy,0.253,T_c,0.077,0.168,1.7396,cluster=transport
traj_router,first_token_recall_D4,4,accuracy,0.253,T_z',0.0057,0.168,1.7396,cluster=transport
