case,D,timestep,match_flag,success_flag,full_radial,subspace_radial,radial_ratio,cos_metric,sin_metric,candidate_name,candidate_value,n_samples,notes
E_phase_evolution,32,31,1,1,3.162277,1.000000,0.316228,0.671698,-0.086793,h1_cos,0.047404,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,31,1,1,3.162277,1.000000,0.316228,0.671698,-0.086793,h3_h1_ratio,14.169516,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,32,1,1,3.162277,1.000000,0.316228,1.000000,-0.000000,step_cos,0.671698,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,32,1,1,3.162277,1.000000,0.316228,1.000000,-0.000000,h1_cos,-0.020755,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,32,1,1,3.162277,1.000000,0.316228,1.000000,-0.000000,h3_h1_ratio,48.181835,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,0,1,0,3.162278,1.000000,0.316228,1.000000,-0.000000,step_cos,nan,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,0,1,0,3.162278,1.000000,0.316228,1.000000,-0.000000,h1_cos,1.000000,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,0,1,0,3.162278,1.000000,0.316228,1.000000,-0.000000,h3_h1_ratio,1.000000,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,1,1,0,3.162278,1.000000,0.316228,0.396574,-0.350461,step_cos,0.396574,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,1,1,0,3.162278,1.000000,0.316228,0.396574,-0.350461,h1_cos,0.478244,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,1,1,0,3.162278,1.000000,0.316228,0.396574,-0.350461,h3_h1_ratio,0.829230,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,2,1,0,3.162278,1.000000,0.316228,0.118577,-0.198946,step_cos,0.384717,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,2,1,0,3.162278,1.000000,0.316228,0.118577,-0.198946,h1_cos,0.096964,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,2,1,0,3.162278,1.000000,0.316228,0.118577,-0.198946,h3_h1_ratio,1.222901,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,3,1,0,3.162278,1.000000,0.316228,0.001318,-0.076416,step_cos,0.392622,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,3,1,0,3.162278,1.000000,0.316228,0.001318,-0.076416,h1_cos,-0.096409,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,3,1,0,3.162278,1.000000,0.316228,0.001318,-0.076416,h3_h1_ratio,0.013666,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,4,1,0,3.162278,1.000000,0.316228,-0.032938,-0.092227,step_cos,0.507246,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,4,1,0,3.162278,1.000000,0.316228,-0.032938,-0.092227,h1_cos,0.077989,759,eps=0.0; D=32; failure; phase_tracking
