tuplet_name,offsets,parent_W,child_W,new_prime,visible_H_first,pre_threshold_H,parent_class_b,parent_class_spin,parent_class_frequency,parent_class_mass_fraction,child_future_classes_produced,extra_child_classes_produced,visible_after_additional_horizon_step
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000001000000000000000,47,0.0005523887876829053,2,1,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000001000000000000001,34,0.0003996003996003996,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000001000000000100000,30,0.00035258858788270555,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000001000000000100001,4,4.701181171769407e-05,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000001000010000000000,20,0.00023505905858847037,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000001000010000000001,25,0.00029382382323558796,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000000000000000000000,50,0.0005876476464711759,2,1,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000000000000000000001,31,0.00036434154081212903,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000000000000000100000,82,0.0009637421402127284,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000000000000000100001,9,0.00010577657636481166,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000000000010000000000,52,0.0006111535523300229,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000000000010000000001,30,0.00035258858788270555,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000000000010000100000,28,0.00032908268202385847,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000001000000000000000,16,0.0001880472468707763,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000001000000000000001,11,0.0001292824822236587,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000001000000000100000,25,0.00029382382323558796,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000001000000000100001,5,5.876476464711759e-05,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000100000000000000000001000010000000000,9,0.00010577657636481166,5,4,1
