family,n,seed,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
balanced_binary_partitions,20,4,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,5,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,6,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,7,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,8,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,9,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,10,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,11,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,12,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,13,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,14,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,15,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,0,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,1,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,2,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,3,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,4,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,5,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,6,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,7,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,8,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,9,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,10,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,11,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,12,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,13,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,14,8,8,9,9,2.75,0.36363636363636365,0.6796536796536796,14.303383936476079,11.030605508342997,45.8825311570237,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,22,15,8,8,9,9,2.75,0.36363636363636365,0.3203463203463203,6.769049616044937,8.881784197001252e-16,37.40990675478676,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,0,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,1,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,2,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,3,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,4,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,5,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,6,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,7,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,8,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,9,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,10,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,11,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,12,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,13,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,14,8,8,9,9,3.0,0.3333333333333333,0.6811594202898551,15.681145747868594,11.949094940299716,52.03150638606606,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,24,15,8,8,9,9,3.0,0.3333333333333333,0.3188405797101449,7.358898943540675,5.329070518200751e-15,40.74930427314746,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,0,8,8,9,9,3.25,0.3076923076923077,0.68,17.01957783862206,13.006675733346936,58.38226819175266,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,1,8,8,9,9,3.25,0.3076923076923077,0.32,8.032239658781407,3.552713678800501e-15,44.42956612564559,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,2,8,8,9,9,3.25,0.3076923076923077,0.68,17.01957783862206,13.006675733346936,58.38226819175266,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,3,8,8,9,9,3.25,0.3076923076923077,0.32,8.032239658781407,3.552713678800501e-15,44.42956612564559,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,4,8,8,9,9,3.25,0.3076923076923077,0.68,17.01957783862206,13.006675733346936,58.38226819175266,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,5,8,8,9,9,3.25,0.3076923076923077,0.32,8.032239658781407,3.552713678800501e-15,44.42956612564559,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,6,8,8,9,9,3.25,0.3076923076923077,0.68,17.01957783862206,13.006675733346936,58.38226819175266,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,7,8,8,9,9,3.25,0.3076923076923077,0.32,8.032239658781407,3.552713678800501e-15,44.42956612564559,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,8,8,8,9,9,3.25,0.3076923076923077,0.68,17.01957783862206,13.006675733346936,58.38226819175266,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,9,8,8,9,9,3.25,0.3076923076923077,0.32,8.032239658781407,3.552713678800501e-15,44.42956612564559,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,10,8,8,9,9,3.25,0.3076923076923077,0.68,17.01957783862206,13.006675733346936,58.38226819175266,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,11,8,8,9,9,3.25,0.3076923076923077,0.32,8.032239658781407,3.552713678800501e-15,44.42956612564559,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,12,8,8,9,9,3.25,0.3076923076923077,0.68,17.01957783862206,13.006675733346936,58.38226819175266,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,13,8,8,9,9,3.25,0.3076923076923077,0.32,8.032239658781407,3.552713678800501e-15,44.42956612564559,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,14,8,8,9,9,3.25,0.3076923076923077,0.68,17.01957783862206,13.006675733346936,58.38226819175266,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,26,15,8,8,9,9,3.25,0.3076923076923077,0.32,8.032239658781407,3.552713678800501e-15,44.42956612564559,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,0,8,8,9,9,3.5,0.2857142857142857,0.6772486772486772,18.296416892126597,13.968385602630985,64.80095516388515,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,1,8,8,9,9,3.5,0.2857142857142857,0.32275132275132273,8.738061201377722,0.0,48.24510844203172,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,2,8,8,9,9,3.5,0.2857142857142857,0.6772486772486772,18.296416892126597,13.968385602630985,64.80095516388515,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,3,8,8,9,9,3.5,0.2857142857142857,0.32275132275132273,8.738061201377722,0.0,48.24510844203172,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,4,8,8,9,9,3.5,0.2857142857142857,0.6772486772486772,18.296416892126597,13.968385602630985,64.80095516388515,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,5,8,8,9,9,3.5,0.2857142857142857,0.32275132275132273,8.738061201377722,0.0,48.24510844203172,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,6,8,8,9,9,3.5,0.2857142857142857,0.6772486772486772,18.296416892126597,13.968385602630985,64.80095516388515,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,7,8,8,9,9,3.5,0.2857142857142857,0.32275132275132273,8.738061201377722,0.0,48.24510844203172,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,8,8,8,9,9,3.5,0.2857142857142857,0.6772486772486772,18.296416892126597,13.968385602630985,64.80095516388515,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,9,8,8,9,9,3.5,0.2857142857142857,0.32275132275132273,8.738061201377722,0.0,48.24510844203172,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,10,8,8,9,9,3.5,0.2857142857142857,0.6772486772486772,18.296416892126597,13.968385602630985,64.80095516388515,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,28,11,8,8,9,9,3.5,0.2857142857142857,0.32275132275132273,8.738061201377722,0.0,48.24510844203172,binary_partition_ratio,1.0,0.6180339887498949
