n,label,factorization,x17,x19,theta_base,theta17,theta19
8228221,other_composite,17 * 431 * 1123,2,16,0.02857142857142857,0.11764705882352941,0.8421052631578947
8258251,semiprime_large,83 * 99497,3,16,0.02857142857142857,0.17647058823529413,0.8421052631578947
8288281,semiprime_large,239 * 34679,4,16,0.02857142857142857,0.23529411764705882,0.8421052631578947
8318311,semiprime_large,1759 * 4729,5,16,0.02857142857142857,0.29411764705882354,0.8421052631578947
8348341,prime,8348341,6,16,0.02857142857142857,0.35294117647058826,0.8421052631578947
8378371,other_composite,23 * 89 * 4093,7,16,0.02857142857142857,0.4117647058823529,0.8421052631578947
8408401,prime,8408401,8,16,0.02857142857142857,0.47058823529411764,0.8421052631578947
8438431,semiprime_large,367 * 22993,9,16,0.02857142857142857,0.5294117647058824,0.8421052631578947
8468461,prime,8468461,10,16,0.02857142857142857,0.5882352941176471,0.8421052631578947
8498491,other_composite,19 * 433 * 1033,11,16,0.02857142857142857,0.6470588235294118,0.8421052631578947
8528521,semiprime_large,907 * 9403,12,16,0.02857142857142857,0.7058823529411765,0.8421052631578947
8558551,prime,8558551,13,16,0.02857142857142857,0.7647058823529411,0.8421052631578947
8588581,semiprime_large,31 * 277051,14,16,0.02857142857142857,0.8235294117647058,0.8421052631578947
8618611,semiprime_large,2423 * 3557,15,16,0.02857142857142857,0.8823529411764706,0.8421052631578947
8648641,other_composite,29 * 61 * 4889,16,16,0.02857142857142857,0.9411764705882353,0.8421052631578947
8678671,prime,8678671,0,17,0.02857142857142857,0.0,0.8947368421052632
8708701,prime,8708701,1,17,0.02857142857142857,0.058823529411764705,0.8947368421052632
8738731,other_composite,17 * 331 * 1553,2,17,0.02857142857142857,0.11764705882352941,0.8947368421052632
8768761,semiprime_large,599 * 14639,3,17,0.02857142857142857,0.17647058823529413,0.8947368421052632
8798791,semiprime_large,389 * 22619,4,17,0.02857142857142857,0.23529411764705882,0.8947368421052632
8828821,semiprime_large,277 * 31873,5,17,0.02857142857142857,0.29411764705882354,0.8947368421052632
8858851,semiprime_large,107 * 82793,6,17,0.02857142857142857,0.35294117647058826,0.8947368421052632
8888881,semiprime_large,59 * 150659,7,17,0.02857142857142857,0.4117647058823529,0.8947368421052632
8918911,prime,8918911,8,17,0.02857142857142857,0.47058823529411764,0.8947368421052632
