j,b_mod_35,f_mod_143,admissible_bit,z1_real,z1_imag,z2_real,z2_imag,radius_C2,local_transport_error
4421,11,126,0,0.5842285462165823,1.3647260068179046,1.0380273962780888,-0.8291838847525954,1.99219649082533,0.4596922741378582
4422,12,126,0,0.2710668415631936,1.5878183734376445,1.1305396014680174,-0.9781337309947338,2.197614571715967,0.20744433853536454
4423,13,126,0,-0.0395687645566958,1.5193453524190772,0.9155236004244576,-1.0016204260230677,2.0374991847376984,0.40731106809852435
4424,14,126,0,-0.15282455816302373,1.1793964467265778,0.3738151307005929,-0.9704717527885091,1.5798368583591482,0.761835949553901
4425,15,126,0,0.036852974329169265,0.6995446074053789,-0.39339810439609146,-0.9402734764302991,1.2367688055928683,0.9522756928652482
4426,16,126,1,0.48908865995571227,0.2655285702135651,-1.1844130282416088,-0.9236093799108162,1.6017495581471637,0.8789002036929746
4427,17,126,0,1.0281686926921587,0.03541709943518333,-1.7656879198208697,-0.8913462023695508,2.229470142039286,0.569991626142588
4428,18,126,0,1.4185780925249445,0.0707846014194735,-1.9618057726890574,-0.7997227685343644,2.550610252598033,0.3211726809120946
4429,19,126,0,1.4719457012907988,0.3122357924362522,-1.7270731994654964,-0.6262218535236561,2.3746686050414163,0.5850527677681624
4430,20,126,0,1.1359839349445722,0.6097329017992817,-1.1655412644847158,-0.392859051752023,1.7818693514814308,0.8176487560327135
4431,21,126,0,0.5234599096833695,0.7926234604816724,-0.4887362303936874,-0.162712669702809,1.0805557565127815,0.7967995886811269
4432,22,126,0,-0.13326359512448943,0.7462243170154436,0.07138876963149308,-0.010372266085827272,0.761455092191209,0.5680769383139003
4433,23,126,0,-0.5819920733023942,0.45974274613341504,0.3561412771050397,0.018329893345849595,0.8229524653691683,0.3965122201678561
4434,24,126,0,-0.6594083909720868,0.02488853895749426,0.33911821731231895,-0.06479937081123363,0.7447408873067546,0.5234594877394629
4435,25,126,0,-0.359460747595264,-0.41157900471624864,0.12522413090841955,-0.1899793229850551,0.5919311888290673,0.6274088520299518
4436,26,126,0,0.16867292587656382,-0.7165997697357391,-0.10807200931796458,-0.2604688671918974,0.7883459747365541,0.555199957436983
4437,27,126,0,0.6902048410194948,-0.827221369824447,-0.19872476617593282,-0.20115456297319254,1.1138368857950411,0.41098638788437447
4438,28,126,0,0.9881643725287825,-0.7687415428104442,-0.07619520487007414,-0.0006866180511436816,1.2542880719624678,0.42652978745427533
4439,29,126,0,0.9525314182779564,-0.6286796272640819,0.20878556780690716,0.2752363356938089,1.1924347488873879,0.5307617946225699
4440,30,126,0,0.6156755171141048,-0.5027935985737887,0.5126057699934059,0.5086413097851775,1.0739359397054435,0.5422016229139712
4441,31,126,0,0.12165492755993801,-0.44255767270872765,0.6697124535447669,0.5827421844406764,0.9993800273332571,0.4959230419413951
4442,32,126,0,-0.35131910617405454,-0.43142979518636293,0.5712925676347314,0.439837217516851,0.9107078336574983,0.5362800358685874
4443,33,126,0,-0.674856903482188,-0.40126715238624255,0.21477438877987487,0.11575213898083471,0.8221762362876578,0.6311003695975947
4444,34,126,0,-0.8198575820249322,-0.27875696597845545,-0.29733812607147075,-0.26724785240602417,0.9537836634775246,0.5934155743594379
4445,0,127,0,-0.8652729774295695,-0.10795711357786232,-0.740385580149537,-0.5839827882820265,1.2843514971163121,0.5637885294748587
4446,1,127,0,-0.8807682867799639,0.27998423015973795,-1.1356738348171893,-0.658018269483176,1.6052685277539918,0.38150542983465846
4447,2,127,0,-0.94227150323203,0.6296721350966219,-1.3060144907840663,-0.4327687165617064,1.7825053143518867,0.29156000270620597
4448,3,127,0,-1.0440993692726108,0.8222881929463167,-1.2570753548016198,0.030607649965330663,1.829611062783673,0.3038069199984348
4449,4,127,0,-1.1077805348157828,0.7983506832210479,-1.062905850740407,0.5738545940396004,1.8230796662117645,0.2712845198304082
4450,5,127,0,-1.0288602609462931,0.594664151118019,-0.8136895657865182,1.002958798678895,1.7550487031694173,0.26476596262103325
4451,6,127,0,-0.7441333989977971,0.3355383873532118,-0.5650323569161763,1.1643714593329988,1.5301447593489692,0.4271486248429799
4452,7,127,0,-0.28181595944315174,0.1794163137747371,-0.316711213813044,1.0031628006180624,1.1037445565637845,0.626755976454895
4453,8,127,0,0.23492959204058053,0.24462420028418314,-0.031420896893404965,0.5787366311420159,0.6715327792209592,0.7556746757358804
4454,9,127,0,0.636872184591366,0.549568667325964,0.3187830655922303,0.033222594270893475,0.9001990242669026,0.7795406544784568
4455,10,127,0,0.7880312100736184,0.9972334687929929,0.7068383189233057,-0.4711750647768385,1.5287557457281327,0.6869320440614302
4456,11,127,0,0.6561053070091384,1.4134928403102902,1.035175417428636,-0.8166325016186077,2.041301783431941,0.47138705054197455
4457,12,127,0,0.33691453958392975,1.6231557607089009,1.1644341422140054,-0.9677449641105075,2.2451243211948095,0.22020556897089022
4458,13,127,0,0.01710598490104689,1.5291525569492317,0.9766532114438768,-0.9689335599341881,2.05700848227084,0.4307175622224354
4459,14,127,0,-0.11034141378320407,1.1579767371012861,0.4430733802596852,-0.9068470104489744,1.540055476896337,0.7873149663538836
